C1  R1   C2  R2   Top      Bot    Cross      I+               I-             V+               V-             DUT Res         I+              I-             V+               V-            Conv


20  60	 25  80	1000.00	1200.00	3000.00	0.00192339	-0.00192337	6.44866592	6.72584511	-144.11006463	01 13 00 	02 24 00 	01 10 59 	02 12 79	0.0000100000
20  60	 25  80	1000.00	1200.00	2500.00	0.00192560	-0.00192559	6.45016794	6.72784817	-144.20420830	01 13 00 	02 24 00 	01 10 59 	02 12 79	0.0000100000
20  60	 25  80	1000.00	1200.00	1500.00	0.00193064	-0.00193062	6.45363926	6.73231346	-144.34280227	01 13 00 	02 24 00 	01 10 59 	02 12 79	0.0000100000
20  60	 25  80	1000.00	1200.00	1000.00	0.00193361	-0.00193359	6.45572279	6.73489233	-144.37739106	01 13 00 	02 24 00 	01 10 59 	02 12 79	0.0000100000
20  60	 25  80	1000.00	1200.00	500.00	0.00193709	-0.00193707	6.45819810	6.73786626	-144.37547460	01 13 00 	02 24 00 	01 10 59 	02 12 79	0.0000100000
20  60	 25  80	1000.00	1200.00	3000.00	0.00192337	-0.00192337	6.44868810	6.72586910	-144.11187241	01 13 00 	02 24 00 	01 10 59 	02 12 79	0.0000000001
20  60	 25  80	1000.00	1200.00	2500.00	0.00192559	-0.00192559	6.45019022	6.72787224	-144.20601301	01 13 00 	02 24 00 	01 10 59 	02 12 79	0.0000000001
20  60	 25  80	1000.00	1200.00	1500.00	0.00193063	-0.00193063	6.45366199	6.73233796	-144.34460423	01 13 00 	02 24 00 	01 10 59 	02 12 79	0.0000000001
20  60	 25  80	1000.00	1200.00	1000.00	0.00193360	-0.00193360	6.45574614	6.73491741	-144.37919756	01 13 00 	02 24 00 	01 10 59 	02 12 79	0.0000000001
20  60	 25  80	1000.00	1200.00	500.00	0.00193708	-0.00193708	6.45822339	6.73789318	-144.37731005	01 13 00 	02 24 00 	01 10 59 	02 12 79	0.0000000001
20  60	 25  80	1000.00	1200.00	2000.00	0.00192799	-0.00192799	6.45183385	6.73001394	-144.28484084	01 13 00 	02 24 00 	01 10 59 	02 12 79	0.0000000001
20  60	 25  80	1000.00	1200.00	5000.00	0.00191572	-0.00191572	6.44363891	6.71877937	-143.62277907	01 13 00 	02 24 00 	01 10 59 	02 12 79	0.0000000001
20  60	 25  80	1000.00	1200.00	7000.00	0.00190929	-0.00190929	6.43957613	6.71261054	-143.00289249	01 13 00 	02 24 00 	01 10 59 	02 12 79	0.0000000001
20  60	 25  80	1000.00	1200.00	10000.00	0.00190102	-0.00190102	6.43459889	6.70433817	-141.89162145	01 13 00 	02 24 00 	01 10 59 	02 12 79	0.0000000001
